title,description,objects,objectlinks,lon,lat,bar_lon,bar_lat
"Barley flour and groats","The MOVING reference member state of this VC (Value Chain) is SKANDINAVIAN UCO. The reference MOVING Card ID of this VC is VC 07 SCA. Barley is the cereal that needs a shorter time to grow, which makes it suitable for mountain areas with extreme climate conditions like Roros. Nontheless, it takes 4 months for the barley to ripe in this place. Additionally, cold climate lowers the exposure to diseases like fungui, so they do not need to spray any pesticide in the fields (only three times in ten years). They are part of the Rorosmat, a regional brand to certify products from the area.","cereal, mountain, climate, pesticide, norway","http://www.wikidata.org/entity/Q12117, http://www.wikidata.org/entity/Q8502, http://www.wikidata.org/entity/Q7937, http://www.wikidata.org/entity/Q131656, https://www.wikidata.org/entity/Q20",10.538986154828823,62.400549498728566,14.76093611111111,64.77964194444445
"Mountain landscape and reference chains","The reference mountain chain of this VC is Scandinavean Mountains - Scandes. The reference mountain landscape of this VC is Tynset. Tynset is located in the upper quadrant of Østerdalen, the Norway's longest valley. It is covered by vast areas of forest and mountains where many family farms still persist. Although the main traditional acctivities are farming and forestry, the region has diverse recreational asstes as skiing, fishing, hiking, and hunting. It has a subarctic climate, where an annual average precipitation is only 400mm and the mean temperature is 0 C (winter average -13 C and summer average 12 C)."," mountain, tynset, forest, subarctic climate"," http://www.wikidata.org/entity/Q8502, http://www.wikidata.org/entity/Q488779, http://www.wikidata.org/entity/Q4421, http://www.wikidata.org/entity/Q5967371",10.78241,62.27594,14.76093611111111,64.77964194444445
"Geography and population","The size of the area (km2) is 1880.5. The minimum altimetry of the LAU (Local Administrative Unit) is 396. The maximum altimetry of the LAU is 1653. The total population (in thousand) is 5.578. The population density (Inhabitants/km2) in the LAU is 2.93. The population change rate of the LAU in the last 10 years (%) has been 1.60%. The overall regional population density (Inhabitants/km2) is 7.13. The regional population change rate in the last 10 years (%) has been 2.86%.","population density, altimetry, population","https://www.wikidata.org/entity/Q22856, https://www.wikidata.org/entity/Q1309100, https://www.wikidata.org/entity/Q2625603",10.538986154828823,62.400549498728566,14.76093611111111,64.77964194444445
"Income and gross value added","The average per capita income (EUR/year) [Province] is 44611.91. The total Gross Value Added (GVA) (EUR million/year) [Province] is 7816.93. The primary sector share of total GVA/year [Province] is 8.44%. The secondary sector share of total GVA/year [Province] is 16.41%. The tertiary sector share of total GVA/year [Province] is 75.14%. The per capita income (EUR/year) [Region] is 46253.25. The total Gross Value Added (GVA) (EUR million/year) [Region] is 15265.23. The primary sector share of total GVA/year [Region] is 3.65%. The secondary sector share of total GVA/year [Region] is 23.37%. The tertiary sector share of total GVA/year [Region] is 72.98%.","gross value added, tertiary sector of the economy, secondary sector of the economy, primary sector of the economy","https://www.wikidata.org/entity/Q994873, https://www.wikidata.org/entity/Q55638, https://www.wikidata.org/entity/Q55639, https://www.wikidata.org/entity/Q55640",10.538986154828823,62.400549498728566,14.76093611111111,64.77964194444445
Tourism,"The total number of bed places (BPs) in tourist accommodations/year in the LAU (Local Administrative Unit) is 2521. The regional (Region) share of total BPs/year is 9.89%. The number of agricultural holdings in the LAU is 3031. The nearest settlement with population over 100000 (km) is 0. In this region protected areas are present.","tourism industry",https://www.wikidata.org/entity/Q9323634,10.538986154828823,62.400549498728566,14.76093611111111,64.77964194444445
Employment,"The primary sector share of total employment/year [Province] is 2.62%. The secondary sector share of total employment/year [Province] is 18.56%. The tertiary sector share of total employment/year [Province] is 78.82%. The primary sector share of total employment/year [Region] is 4.27%. The secondary sector share of total employment/year [Region] is 22.73%. The tertiary sector share of total employment/year [Region] is 73.03%.","employment, tertiary sector of the economy, secondary sector of the economy, primary sector of the economy","https://www.wikidata.org/entity/Q656365, https://www.wikidata.org/entity/Q55638, https://www.wikidata.org/entity/Q55639, https://www.wikidata.org/entity/Q55640",10.538986154828823,62.400549498728566,14.76093611111111,64.77964194444445
"Interest on this VC","Ancient crop grown in an area with extreme climate conditions. Farmers grow and mill the grain and sell the flour directly to final customers. They also have an e-commerce platform. The innovation is fully related with the way they access the markets, keeping the control over the product from the beginning stage of the process to the final cutomers.","flour, e-commerce, innovation","http://www.wikidata.org/entity/Q36465, http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q174165",10.538986154828823,62.400549498728566,14.76093611111111,64.77964194444445
"Key local assets","The natural asset is the location and weather that make something special of this product: barley produced at 500masl in Norway. The social asset is related to the local brand Rorosmat, that labels local products, promotes them and sells them on the website. The cultural aspect is related to the use of stone mill that connects this product to the traditional techniques. ","norway, asset, weather, website, stone","http://www.wikidata.org/entity/Q20, http://www.wikidata.org/entity/Q46737, http://www.wikidata.org/entity/Q11663, http://www.wikidata.org/entity/Q35127, http://www.wikidata.org/entity/Q22731",11.0,65.0,14.76093611111111,64.77964194444445
Challenges,"1) Keep improving the growing techniques to decrerase the need of fertilizers and pesticides; 2) The low consumption of barley by humans in comparison with wheat; 3) The challenge to increase the human consumption of barley and its corresponding market due to its great nutritious value; 4) Climate Change may enhance the development of plant diseases and pest that are nowadays limited by the cold temperatures. Overall the type of challenge faced by this VC is Current. This VC is classified as Traditional and Innovative."," plant"," http://www.wikidata.org/entity/Q756",10.538986154828823,62.400549498728566,14.76093611111111,64.77964194444445
Innovation,"The type of innovation of this VC (Value Chain) is Exogenous. The innovation is associated with the Rorosmat brand as it promotes and sells the regional products. Apart from the e-commerce of Rorosmat, the mill also has its own website where everyone can make an order. The innovation is related to New marketing strategies. The land use systems involved are Cropland. The local assets include Natural, social and cultural.","innovation, e-commerce, marketing","http://www.wikidata.org/entity/Q174165, http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q39809",10.538986154828823,62.400549498728566,14.76093611111111,64.77964194444445
